market_id,slug,question,answer1,answer2,resolved_outcome,winner_token,source
507313,will-sparta-prague-win-the-uefa-champions-league,Will Sparta Prague win the UEFA Champions League?,Yes,No,No,,https://polymarket.com/fr/event/champions-league-winner-2025
514580,south-korean-president-impeached-in-2024,South Korean President impeached in 2024?,Yes,No,Yes,,https://polymarket.com/event/south-korean-president-impeached-in-2024
607610,ethereum-up-or-down-september-24-9am-et,"Ethereum Up or Down - September 24, 9AM ET",Up,Down,Down,,https://polymarket.com/event/ethereum-up-or-down-september-24-9am-et
613187,bitcoin-up-or-down-september-27-11pm-et,"Bitcoin Up or Down - September 27, 11PM ET",Up,Down,Down,,https://polymarket.com/event/bitcoin-up-or-down-september-27-11pm-et
520819,alibaba-ai-model-better-than-deepseek-before-march,Alibaba AI model better than DeepSeek before March?,Yes,No,No,,https://polymarket.com/event/alibaba-ai-model-better-than-deepseek-before-march
520017,will-creighton-win-the-2025-ncaa-tournament,Will Creighton win the 2025 NCAA Tournament?,Yes,No,No,,https://polymarket.com/event/2025-ncaa-tournament-winner
503314,will-the-raiders-win-super-bowl-2025,Will the Raiders win Super Bowl 2025?,Yes,No,No,,https://polymarket.com/market/will-the-titans-win-super-bowl-2025
255198,will-a-candidate-from-another-party-win-virginia-presidential-election,Will a candidate from another party win Virginia Presidential Election?,Yes,No,No,,https://worldcoin.polymarket.com/event/virginia-presidential-election-winner/will-a-candidate-from-another-party-win-virginia-presidential-election
584344,nfl-ten-den-2025-09-07,Titans vs. Broncos,Titans,Broncos,,,
509083,will-the-anaheim-ducks-win-the-2025-stanley-cup,Will the Anaheim Ducks win the 2025 Stanley Cup?,Yes,No,No,,https://polymarket.com/market/will-the-anaheim-ducks-win-the-2025-stanley-cup
578163,will-trump-and-putin-meet-next-in-turkey-549,Will Zelenskyy and Putin meet next in Turkey?,Yes,No,No,,https://polymarket.com/event/where-will-trump-and-putin-meet-next-393/will-trump-and-putin-meet-next-in-turkey-549
530742,will-pirates-win-the-most-seats-in-the-next-czech-parliamentary-election,Will Pirates win the most seats in the next Czech parliamentary election?,Yes,No,No,,https://polymarket.com/event/czech-republic-parliamentary-election-winner
250352,will-spacexs-starship-reach-outer-space-by-september-30,Will SpaceX's Starship reach outer space by September 30?,Yes,No,No,,https://polymarket.com/event/will-spacexs-starship-reach-outer-space-by/will-spacexs-starship-reach-outer-space-by-september-30
606321,xrp-up-or-down-september-23-5am-et,"XRP Up or Down - September 23, 5AM ET",Up,Down,Down,,https://polymarket.com/event/xrp-up-or-down-september-23-5am-et
253597,will-kamala-harris-win-the-2024-us-presidential-election,Will Kamala Harris win the 2024 US Presidential Election?,Yes,No,No,,https://polymarket.com/market/will-kamala-harris-win-the-2024-us-presidential-election
542538,fed-decreases-interest-rates-by-25-bps-after-september-2025-meeting,Fed decreases interest rates by 25 bps after September 2025 meeting?,Yes,No,Yes,,https://polymarket.com/event/fed-decision-in-september/no-change-in-fed-interest-rates-after-september-2025-meeting
507300,will-inter-milan-win-the-uefa-champions-league,Will Inter Milan win the UEFA Champions League?,Yes,No,No,,https://polymarket.com/event/champions-league-winner-2025/will-inter-milan-win-the-uefa-champions-league
532741,us-military-action-against-iran-before-july,US military action against Iran before July?,Yes,No,Yes,,https://polymarket.com/event/us-military-action-against-iran-before-july/us-military-action-against-iran-before-july
506735,crystal-palace-wins-the-premier-league,Crystal Palace wins the Premier League?,Yes,No,No,,https://polymarket.com/event/premier-league-winner-24-25/brentford-win-the-premier-league
515796,will-alice-weidel-be-the-next-chancellor-of-germany,Will  Alice Weidel be the next Chancellor of Germany?,Yes,No,No,,https://polymarket.com/event/next-chancellor-of-germany/will-alice-weidel-be-the-next-chancellor-of-germany
507237,will-the-democratic-candidate-win-pennsylvania-by-0pt5-1,Will the Democratic candidate win Pennsylvania by 0.5%-1%?,Yes,No,No,,https://polymarket.com/market/will-the-republican-candidate-win-pennsylvania-by-0-0pt5
561970,will-there-be-at-least-1500-measles-cases-in-the-us-in-2025,Will there be at least 1500 measles cases in the U.S. in 2025?,Yes,No,Yes,,https://polymarket.com/event/measles-cases-in-us-before-2026
511754,will-donald-trump-be-inaugurated,Will Donald Trump be inaugurated?,Yes,No,Yes,,https://polymarket.com/market/will-donald-trump-be-inaugurated
563719,will-jorge-tuto-quiroga-win-the-most-votes-in-the-first-round-of-the-2025-bolivia-presidential-election,Will Jorge “Tuto” Quiroga win the most votes in the first round of the 2025 Bolivia presidential election?,Yes,No,No,,https://polymarket.com/event/bolivia-presidential-election-1st-round-winner
576411,will-solana-reach-500-before-2026-652,Will Solana reach $500 before 2026?,Yes,No,No,,https://polymarket.com/event/what-price-will-solana-hit-before-2026/will-solana-reach-500-before-2026-652
254457,blast-airdrop-by-june-30,Blast airdrop by June 30?,Yes,No,Yes,,https://polymarket.com/market/blast-airdrop-by-june-30
507868,will-the-indiana-pacers-win-the-2025-nba-finals,Will the Indiana Pacers win the 2025 NBA Finals?,Yes,No,No,,https://polymarket.com/event/nba-champion-2024-2025/will-the-indiana-pacers-win-the-2025-nba-finals
557090,bitcoin-up-or-down-july-17-4pm-et,"Bitcoin Up or Down - July 17, 4PM ET",Up,Down,Up,,https://polymarket.com/event/bitcoin-up-or-down-july-17-4pm-et
