cut_fraction,gate_type,candidate,categories,max_horizon_days,score,initial_cash,available_cash_end,locked_capital_end,open_positions_end,realized_profit,unrealized_profit_marked_at_cost,total_account_value,account_return,eventual_open_profit_audit_only,deployed,fees,entries,resolved_exits,hit_rate,gross_winnings,gross_losses,profit_factor,dollar_days_locked,annualized_return_on_locked_capital,max_drawdown,skipped,levels
0.6,market,all,"crypto,economics,entertainment,other,politics,sports,weather",1,-15.596254081851846,5000.0,4983.539999999987,0.9199999999999999,8,-15.539999999999996,0.0,4984.459999999987,-0.003108000000002553,-0.9199999999999999,64.97000000000003,4.135400199392434,207,199,0.12562814070351758,38.02,-53.56,0.7098581030619866,102.54081851851859,-55.315532701502995,0.005922214792564993,"{'untrained_level': 1796, 'horizon_gate': 997, 'entry_liquidity_limited': 210, 'minimum_order': 38, 'threshold_exit_insufficient_liquidity': 19}",
0.6,market,all,"crypto,economics,entertainment,other,politics,sports,weather",3,-2.0362064178587977,5000.0,4995.549999999982,2.5599999999999996,14,-1.8900000000000012,0.0,4998.109999999982,-0.00037800000000354217,-2.5599999999999996,96.08000000000004,6.103300127112864,282,268,0.13805970149253732,75.21000000000001,-77.1,0.9754863813229574,182.06417858796308,-3.7890484847171853,0.0068477498405332135,"{'untrained_level': 1796, 'horizon_gate': 902, 'entry_liquidity_limited': 286, 'minimum_order': 58, 'threshold_exit_insufficient_liquidity': 38}",
0.6,market,all,"crypto,economics,entertainment,other,politics,sports,weather",7,32.150093062442124,5000.0,5022.939999999978,9.739999999999997,31,32.68,0.0,5032.679999999978,0.006535999999995434,-9.739999999999997,150.87000000000015,9.70380039167402,417,386,0.16062176165803108,144.86,-112.18,1.2913175254055982,429.06937557870333,27.800166310895413,0.0059009229699422275,"{'untrained_level': 1796, 'horizon_gate': 742, 'entry_liquidity_limited': 416, 'minimum_order': 83, 'threshold_exit_insufficient_liquidity': 56}",
0.6,market,all,"crypto,economics,entertainment,other,politics,sports,weather",14,25.444572372569418,5000.0,5012.599999999961,13.58999999999999,62,26.189999999999973,0.0,5026.189999999961,0.005237999999992304,-10.599999999999998,178.11000000000007,11.788900358629931,527,465,0.16774193548387098,156.35,-130.16,1.2012138905961893,659.2762743055558,14.49976341112725,0.006475652062191018,"{'untrained_level': 1796, 'horizon_gate': 612, 'entry_liquidity_limited': 531, 'minimum_order': 103, 'threshold_exit_insufficient_liquidity': 71}",
0.6,market,all,"crypto,economics,entertainment,other,politics,sports,weather",30,5.931533812592548,5000.0,4986.719999999948,20.379999999999992,90,7.099999999999955,0.0,5007.0999999999485,0.0014199999999897628,-12.68999999999999,230.27000000000004,15.448400740463237,667,577,0.1611785095320624,178.23999999999998,-171.14,1.041486502278836,1494.661874074073,1.7338369600183923,0.005398984561852376,"{'untrained_level': 1796, 'horizon_gate': 445, 'entry_liquidity_limited': 668, 'threshold_exit_insufficient_liquidity': 89, 'minimum_order': 130}",
0.6,market,all,"crypto,economics,entertainment,other,politics,sports,weather",60,22.221847460717534,5000.0,4984.889999999946,39.59000000000001,135,24.479999999999944,0.0,5024.479999999946,0.004895999999989131,-27.149999999999988,272.84000000000026,18.59480077677211,770,635,0.16850393700787403,212.4,-187.92,1.1302681992337167,2786.5253928240763,3.2065740448696824,0.005457190645387845,"{'untrained_level': 1796, 'entry_liquidity_limited': 772, 'horizon_gate': 317, 'threshold_exit_insufficient_liquidity': 104, 'minimum_order': 155}",
0.6,market,all,"crypto,economics,entertainment,other,politics,sports,weather",90,7.5539339444559594,5000.0,4966.719999999946,43.42000000000002,142,10.139999999999942,0.0,5010.139999999946,0.0020279999999892606,-30.979999999999997,298.87000000000006,20.640100913051427,828,686,0.1661807580174927,218.57,-208.43,1.048649426666027,4150.660555439819,0.8916893951131103,0.006819025757013527,"{'untrained_level': 1796, 'entry_liquidity_limited': 817, 'horizon_gate': 254, 'threshold_exit_insufficient_liquidity': 115, 'minimum_order': 160}",
0.6,market,all,"crypto,economics,entertainment,other,politics,sports,weather",180,9.296794592777674,5000.0,4946.079999999941,67.18000000000004,205,13.259999999999899,0.0,5013.259999999941,0.0026519999999883304,-46.69000000000003,337.5199999999999,22.91820143858703,921,716,0.164804469273743,233.92000000000002,-220.66000000000003,1.0600924499229583,6042.054072222221,0.8010355323119254,0.00700844739898666,"{'untrained_level': 1796, 'entry_liquidity_limited': 906, 'horizon_gate': 144, 'threshold_exit_insufficient_liquidity': 119, 'minimum_order': 177}",
0.6,market,all,"crypto,economics,entertainment,other,politics,sports,weather",none,21.79139495770824,5000.0,4897.399999999936,132.3700000000001,320,29.76999999999991,0.0,5029.769999999936,0.005953999999987136,-103.59000000000019,412.5200000000001,27.765802298508415,1060,740,0.16756756756756758,258.67999999999995,-228.90999999999997,1.13005111179066,13601.050422916667,0.7989125591131956,0.007022937098998135,"{'untrained_level': 1796, 'entry_liquidity_limited': 1001, 'threshold_exit_insufficient_liquidity': 147, 'minimum_order': 182}",
0.6,market,no_crypto,"economics,entertainment,other,politics,sports,weather",1,-15.596254081851846,5000.0,4983.539999999987,0.9199999999999999,8,-15.539999999999996,0.0,4984.459999999987,-0.003108000000002553,-0.9199999999999999,64.97000000000003,4.135400199392434,207,199,0.12562814070351758,38.02,-53.56,0.7098581030619866,102.54081851851859,-55.315532701502995,0.005922214792564993,"{'untrained_level': 1796, 'horizon_gate': 975, 'category_gate': 22, 'entry_liquidity_limited': 210, 'minimum_order': 38, 'threshold_exit_insufficient_liquidity': 19}",
0.6,market,no_crypto,"economics,entertainment,other,politics,sports,weather",3,-2.0362064178587977,5000.0,4995.549999999982,2.5599999999999996,14,-1.8900000000000012,0.0,4998.109999999982,-0.00037800000000354217,-2.5599999999999996,96.08000000000004,6.103300127112864,282,268,0.13805970149253732,75.21000000000001,-77.1,0.9754863813229574,182.06417858796308,-3.7890484847171853,0.0068477498405332135,"{'untrained_level': 1796, 'horizon_gate': 880, 'category_gate': 22, 'entry_liquidity_limited': 286, 'minimum_order': 58, 'threshold_exit_insufficient_liquidity': 38}",
0.6,market,no_crypto,"economics,entertainment,other,politics,sports,weather",7,31.463080175451392,5000.0,5022.249999999977,9.739999999999997,31,31.990000000000002,0.0,5031.989999999977,0.006397999999995463,-9.739999999999997,146.28000000000011,9.489000366806962,410,379,0.15303430079155672,142.12000000000003,-110.13000000000001,1.290474893307909,399.1982454861107,29.249502301247603,0.005635795601631341,"{'untrained_level': 1796, 'horizon_gate': 730, 'category_gate': 22, 'entry_liquidity_limited': 409, 'minimum_order': 80, 'threshold_exit_insufficient_liquidity': 55}",
0.6,market,no_crypto,"economics,entertainment,other,politics,sports,weather",14,25.90869384606479,5000.0,5013.059999999961,13.58999999999999,62,26.649999999999974,0.0,5026.649999999961,0.005329999999992285,-10.599999999999998,172.3000000000001,11.49070034101974,518,456,0.16228070175438597,153.60999999999999,-126.96000000000001,1.2099086326402015,618.0615393518517,15.73831953724342,0.00633365555114486,"{'untrained_level': 1796, 'horizon_gate': 602, 'category_gate': 22, 'entry_liquidity_limited': 523, 'minimum_order': 100, 'threshold_exit_insufficient_liquidity': 70}",
0.6,market,no_crypto,"economics,entertainment,other,politics,sports,weather",30,7.608429107013858,5000.0,4988.3899999999485,20.379999999999992,90,8.76999999999997,0.0,5008.769999999949,0.0017539999999898193,-12.68999999999999,223.18,15.057400738849436,656,566,0.15724381625441697,175.50000000000003,-166.73,1.052600011995442,1425.7089298611104,2.2452338853708578,0.005341890949967438,"{'untrained_level': 1796, 'horizon_gate': 437, 'entry_liquidity_limited': 659, 'threshold_exit_insufficient_liquidity': 87, 'category_gate': 22, 'minimum_order': 127}",
0.6,market,no_crypto,"economics,entertainment,other,politics,sports,weather",60,24.461851649594877,5000.0,4987.119999999946,39.59000000000001,135,26.709999999999972,0.0,5026.709999999946,0.0053419999999893,-27.149999999999988,263.72000000000025,18.06810072870543,756,621,0.16264090177133655,209.22,-182.51,1.1463481453071065,2686.4835040509274,3.6289632842708035,0.0054705244580962676,"{'untrained_level': 1796, 'entry_liquidity_limited': 762, 'horizon_gate': 312, 'threshold_exit_insufficient_liquidity': 102, 'category_gate': 22, 'minimum_order': 152}",
